0001,0001.2002.296.a,63.51400,-147.9120,12.00000,6.7,-0.279E+19,0.152E+19,0.127E+19,0.927E+18,-0.131E+18,-0.142E+20,
0002,0001.2002.307.a,63.51700,-147.4440,4.000000,7.9,-0.841E+19,-0.611E+21,0.620E+21,0.107E+20,0.326E+19,-0.427E+21,
0003,0002.2000.140.a,59.20400,-153.1390,80.00000,5.9,0.105E+18,-0.531E+18,0.426E+18,0.552E+18,0.289E+18,0.226E+18,
0004,0002.2001.209.a,59.02500,-155.1160,130.0000,6.6,0.440E+19,-0.115E+20,0.706E+19,0.161E+18,0.737E+19,0.753E+19,
0005,0004.1999.271.a,54.59000,168.2630,8.000000,6.1,-0.607E+18,0.843E+17,0.522E+18,0.381E+18,-0.255E+18,-0.980E+18,
0006,0004.2003.339.a,55.53800,165.7800,22.00000,6.7,0.464E+19,-0.226E+19,-0.238E+19,-0.523E+19,-0.111E+20,0.576E+19,
0007,0004.2007.210.a,53.74050,169.6699,16.00000,5.9,0.158E+18,-0.491E+18,0.333E+18,0.460E+18,0.408E+18,0.181E+18,
0008,0004.2008.256.a,56.40000,164.1000,4.000000,6.0,-0.156E+18,0.207E+17,0.135E+18,0.632E+17,-0.350E+18,-0.290E+18,
0009,0005.2004.263.a,52.20500,174.0270,24.00000,6.2,0.711E+18,-0.884E+18,0.174E+18,0.126E+19,0.824E+18,-0.485E+18,
0010,0006.2002.311.a,51.19700,179.3340,14.00000,6.6,0.395E+19,-0.271E+19,-0.124E+19,0.486E+19,0.255E+19,-0.623E+18,
0011,0006.2003.076.a,51.27200,177.9780,16.00000,7.0,0.139E+20,-0.776E+19,-0.617E+19,0.390E+20,0.124E+20,-0.375E+19,
0012,0006.2003.166.a,51.55200,176.9230,18.00000,6.5,0.329E+19,-0.243E+19,-0.863E+18,0.329E+19,0.307E+19,-0.213E+19,
0013,0006.2003.174.a,51.43900,176.7830,20.00000,6.9,0.216E+20,-0.149E+20,-0.665E+19,0.581E+19,0.708E+19,-0.613E+18,
0014,0006.2005.161.a,51.17950,179.5208,46.00000,5.8,0.226E+18,-0.114E+18,-0.112E+18,-0.661E+17,0.878E+17,-0.167E+18,
0015,0006.2005.165.a,51.23200,179.4060,16.00000,6.8,0.508E+19,-0.380E+19,-0.128E+19,0.532E+19,0.334E+19,-0.400E+19,
0016,0006.2006.165.a,51.75200,177.0820,14.00000,6.4,0.158E+19,-0.549E+19,0.391E+19,0.185E+19,0.118E+18,-0.177E+19,
0017,0006.2006.178.a,52.20500,176.1830,14.00000,6.2,-0.129E+18,-0.162E+19,0.175E+19,-0.845E+17,-0.832E+18,-0.132E+19,
0018,0006.2006.183.a,51.71300,176.9300,14.00000,5.7,-0.102E+17,-0.464E+18,0.475E+18,0.596E+17,-0.286E+17,0.379E+17,
0019,0006.2008.141.a,51.16200,178.7590,16.00000,6.3,0.861E+18,-0.550E+18,-0.311E+18,0.112E+19,0.575E+18,-0.191E+18,
0020,0006.2008.207.a,51.40650,179.0225,18.00000,5.8,0.412E+18,-0.414E+18,0.192E+16,0.190E+18,0.173E+18,-0.387E+17,
0021,0007.1992.274.a,51.28100,-178.0370,14.00000,6.6,0.483E+19,-0.429E+19,-0.537E+18,0.608E+19,0.420E+19,-0.371E+19,
0022,0007.1996.162.a,51.56400,-177.6320,64.00000,7.9,0.723E+20,-0.181E+21,0.109E+21,0.141E+21,0.374E+20,0.128E+21,
0023,0007.1999.079.a,51.58700,-177.6680,34.00000,6.9,0.131E+20,-0.735E+19,-0.574E+19,0.450E+19,0.605E+19,-0.520E+19,
0024,0007.1999.280.a,52.24300,-177.7200,146.0000,5.5,-0.157E+18,0.371E+17,0.120E+18,0.318E+17,-0.112E+18,-0.445E+17,
0025,0007.2000.112.a,51.42200,-178.1370,26.00000,6.0,0.768E+18,-0.797E+18,0.292E+17,0.370E+18,0.308E+18,-0.898E+17,
0026,0007.2000.338.a,51.69000,-178.2300,42.00000,5.9,0.344E+18,-0.338E+18,-0.661E+16,0.561E+17,0.614E+17,-0.104E+18,
0027,0007.2001.032.a,51.43700,-177.7970,26.00000,6.0,0.403E+18,-0.717E+18,0.314E+18,0.369E+18,0.167E+18,-0.310E+18,
0028,0007.2001.107.a,51.23900,-179.7800,16.00000,6.0,0.347E+18,-0.366E+18,0.190E+17,0.321E+18,0.214E+17,0.106E+18,
0029,0007.2002.073.a,51.53100,-173.0830,12.00000,5.9,0.446E+18,-0.240E+18,-0.206E+18,0.136E+18,0.139E+18,-0.121E+17,
